GENE	IDX	GDCM035-301	GDCM035-401	GDCM040-301	GDCM048-301	GDCM048-401	GDCM056-301	GDCM069-301	GDCM094-301	GDCM119-301	GDCM144-201	GDCM144-301	GDCM144-302	GDCM148-301	GDCM167-301
ACTA1	chr1_229431459	0.3	0.14814814814814814	0.3333333333333333	0.3333333333333333	0.11538461538461539	0.21739130434782608	0.35714285714285715	0.42857142857142855	0.14285714285714285	0.28	0.3333333333333333	0.1935483870967742	0.2222222222222222	0.20588235294117646
ACTA1	chr1_229431462	0.2857142857142857	0.14814814814814814	0.3333333333333333	0.3	0.12	0.25	0.35294117647058826	0.35714285714285715	0.13636363636363635	0.2692307692307692	0.3	0.18181818181818182	0.2222222222222222	0.20588235294117646
ACTA1	chr1_229431475	0.1	0.09090909090909091	0.2916666666666667	0.48	0.21428571428571427	0.17391304347826086	0.2631578947368421	0.2777777777777778	0.08	0.27586206896551724	0.24	0.14705882352941177	0.07407407407407407	0.21621621621621623
ACTA1	chr1_229431477	0.0967741935483871	0.09523809523809523	0.2916666666666667	0.4583333333333333	0.28	0.18181818181818182	0.23529411764705882	0.23529411764705882	0.043478260869565216	0.27586206896551724	0.20833333333333334	0.17142857142857143	0.07692307692307693	0.2222222222222222
ACTA1	chr1_229431511	0.1111111111111111	0.0	0.1724137931034483	0.25	0.07407407407407407	0.08333333333333333	0.045454545454545456	0.1111111111111111	0.04	0.10714285714285714	0.0625	0.03225806451612903	0.10344827586206896	0.1111111111111111
ACTA1	chr1_229431518	0.10714285714285714	0.0	0.1935483870967742	0.25	0.07407407407407407	0.08695652173913043	0.0	0.15789473684210525	0.038461538461538464	0.10714285714285714	0.0625	0.03225806451612903	0.10344827586206896	0.10810810810810811
ACTA1	chr1_229431530	0.03125	0.03571428571428571	0.1724137931034483	0.03571428571428571	0.07407407407407407	0.13043478260869565	0.045454545454545456	0.0	0.0	0.06060606060606061	0.0	0.06451612903225806	0.06666666666666667	0.05128205128205128
ACTA1	chr1_229431536	0.029411764705882353	0.03571428571428571	0.13333333333333333	0.03571428571428571	0.06896551724137931	0.16	0.05263157894736842	0.0	0.0	0.03125	0.0	0.06451612903225806	0.06451612903225806	0.075
ACTA1	chr1_229431539	0.03125	0.03571428571428571	0.15625	0.03571428571428571	0.07142857142857142	0.15384615384615385	0.0	0.0	0.0	0.058823529411764705	0.0	0.0625	0.06666666666666667	0.07142857142857142
ACTA1	chr1_229431582	0.13333333333333333	0.08333333333333333	0.14814814814814814	0.08	0.08	0.1111111111111111	0.11764705882352941	0.11764705882352941	0.16666666666666666	0.2857142857142857	0.041666666666666664	0.14285714285714285	0.10714285714285714	0.08108108108108109
