sample1	h1	ABCC9	chr12	21787712	8	9
sample1	h1	ABCC9	chr12	21787718	8	9
sample1	h1	ABCC9	chr12	21787728	8	9
sample1	h1	ABCC9	chr12	21787769	4	6
sample1	h1	ABCC9	chr12	21787819	10	10
sample1	h1	ABCC9	chr12	21787953	8	8
sample1	h1	ABCC9	chr12	21787977	7	8
sample1	h1	ABCC9	chr12	21788281	5	8
sample1	h1	ABCC9	chr12	21788376	7	7
sample1	h1	ABCC9	chr12	21788684	6	8
sample1	h1	ABCC9	chr12	21788688	7	8
sample1	h1	ABCC9	chr12	21788805	10	10
sample1	h1	ABCC9	chr12	21788903	5	10
sample1	h1	ABCC9	chr12	21788956	6	8
sample1	h1	ABCC9	chr12	21788992	9	10
sample1	h1	ABCC9	chr12	21789012	6	6
sample1	h1	ABCC9	chr12	21789361	2	7
sample1	h1	ABCC9	chr12	21789772	5	8
sample1	h1	ABCC9	chr12	21789865	2	6
sample1	h1	ABCC9	chr12	21790019	6	6
sample1	h1	ABCC9	chr12	21790045	6	6
sample1	h1	ABCC9	chr12	21790132	2	8
sample1	h1	ABCC9	chr12	21790338	3	7
sample1	h1	ABCC9	chr12	21790650	11	11
sample1	h1	ABCC9	chr12	21790692	5	7
sample1	h1	ABCC9	chr12	21790832	8	10
sample1	h1	ABCC9	chr12	21791030	8	9
sample1	h1	ABCC9	chr12	21791161	5	6
sample1	h1	ABCC9	chr12	21791237	7	7
sample1	h1	ABCC9	chr12	21791914	5	7
sample1	h1	ABCC9	chr12	21791949	6	7
sample1	h1	ABCC9	chr12	21792148	6	9
sample1	h1	ABCC9	chr12	21792743	6	8
sample1	h1	ABCC9	chr12	21792951	2	5
sample1	h1	ABCC9	chr12	21793063	9	11
sample1	h1	ABCC9	chr12	21793185	6	6
sample1	h1	ABCC9	chr12	21793361	10	11
sample1	h1	ABCC9	chr12	21793450	4	10
sample1	h1	ABCC9	chr12	21793554	9	10
sample1	h1	ABCC9	chr12	21793912	10	11
sample1	h1	ABCC9	chr12	21794104	5	8
sample1	h1	ABCC9	chr12	21794209	7	8
sample1	h1	ABCC9	chr12	21794324	6	6
sample1	h1	ABCC9	chr12	21794364	6	8
sample1	h1	ABCC9	chr12	21794439	5	10
sample1	h1	ABCC9	chr12	21794502	8	9
sample1	h1	ABCC9	chr12	21794545	11	11
sample1	h1	ABCC9	chr12	21794550	11	11
